"title","year","rating","votes","runtime","genre"
"The Incredible Hulk",2008,6.9,235963,112,"Action"
"Clash of the Titans",2010,5.8,182029,106,"Action"
"Thor",2011,7,338213,115,"Action"
"Percy Jackson & the Olympians: The Lightning Thief",2010,5.9,102980,118,"Adventure"
"World War Z",2013,7.1,283626,116,"Action"
"Shooter",2007,7.2,193652,124,"Action"
"The Bucket List",2007,7.4,144493,97,"Adventure"
"Superbad",2007,7.7,326763,113,"Comedy"
"Quantum of Solace",2008,6.7,239525,106,"Action"
"Definitely, Maybe",2008,7.2,105226,112,"Comedy"
"Step Brothers",2008,6.8,159452,98,"Comedy"
"Cloudy with a Chance of Meatballs",2009,7,102371,90,"Animation"
"The Avengers",2012,8.2,630936,143,"Action"
"Burn After Reading",2008,7,196285,96,"Comedy"
"How to Train Your Dragon",2010,8.2,284039,98,"Animation"
"The Road",2009,7.3,137408,111,"Adventure"
"The Hobbit: An Unexpected Journey",2012,8.1,435346,169,"Adventure"
"WALL·E",2008,8.5,476249,98,"Animation"
"Harry Potter and the Deathly Hallows: Part 1",2010,7.7,234235,146,"Adventure"
"Taken",2008,7.9,364292,93,"Action"
"Tropic Thunder",2008,7,239115,107,"Action"
"Salt",2010,6.4,190682,100,"Action"
"The Amazing Spider-Man",2012,7.2,293750,136,"Action"
"Robin Hood",2010,6.7,167266,140,"Action"
"You Don't Mess with the Zohan",2008,5.5,121668,113,"Action"
"Hugo",2011,7.6,189943,126,"Adventure"
"17 Again",2009,6.4,104297,102,"Comedy"
"Sucker Punch",2011,6.1,158207,110,"Action"
"The Adventures of Tintin",2011,7.4,139438,107,"Animation"
"Machete",2010,6.7,137848,105,"Action"
"Surrogates",2009,6.3,128003,89,"Action"
"Sherlock Holmes",2009,7.6,346449,128,"Action"
"The Green Hornet",2011,5.9,112103,119,"Action"
"Hanna",2011,6.8,130829,111,"Action"
"He's Just Not That Into You",2009,6.4,103062,129,"Comedy"
"Megamind",2010,7.3,121511,95,"Animation"
"Zack and Miri Make a Porno",2008,6.7,126619,101,"Comedy"
"Knight and Day",2010,6.3,112854,109,"Action"
"Fast & Furious",2009,6.6,133319,107,"Action"
"Alice in Wonderland",2010,6.5,227332,108,"Adventure"
"(500) Days of Summer",2009,7.8,273790,95,"Comedy"
"Death Proof",2007,7.1,162116,113,"Action"
"RocknRolla",2008,7.3,154522,114,"Action"
"The Descendants",2011,7.4,163685,115,"Comedy"
"What Happens in Vegas",2008,6.1,109552,99,"Comedy"
"The Book of Eli",2010,6.9,169539,118,"Action"
"The Proposal",2009,6.7,156129,108,"Comedy"
"Silver Linings Playbook",2012,7.9,354215,122,"Comedy"
"G.I. Joe: The Rise of Cobra",2009,5.8,141426,118,"Action"
"Up",2009,8.3,425485,96,"Animation"
"The Imaginarium of Doctor Parnassus",2009,6.9,104363,123,"Adventure"
"Transformers: Revenge of the Fallen",2009,6,238240,150,"Action"
"Eagle Eye",2008,6.6,126202,118,"Action"
"Cloverfield",2008,7.1,233016,85,"Action"
"Yes Man",2008,6.9,213775,104,"Comedy"
"Skyfall",2012,7.8,376186,143,"Action"
"Planet Terror",2007,7.3,136725,105,"Action"
"Dark Shadows",2012,6.3,147346,113,"Comedy"
"Ice Age: Dawn of the Dinosaurs",2009,7.1,112581,94,"Animation"
"Adventureland",2009,6.8,106482,107,"Comedy"
"Paul",2011,7.1,145230,104,"Adventure"
"TRON: Legacy",2010,6.9,208730,125,"Action"
"The Taking of Pelham 1 2 3",2009,6.4,113426,106,"Action"
"The Hangover",2009,7.8,424794,100,"Comedy"
"Green Lantern",2011,5.7,169039,114,"Action"
"District 9",2009,8,415390,112,"Action"
"The Ugly Truth",2009,6.5,117119,96,"Comedy"
"I Love You, Man",2009,7.1,136399,105,"Comedy"
"Zombieland",2009,7.8,275243,88,"Comedy"
